len_s,len_t,measuring,where,key,value
100000000,500000,wl_calls,runs,a_na_nowl_narrow,218656
100000000,500000,wl_calls,runs,a_na_nowl_wide,886
100000000,500000,wl_calls,runs,a_na_wl_narrow,85095
100000000,500000,wl_calls,runs,a_na_wl_wide,781
100000000,500000,wl_calls,runs,b_na_nowl_narrow,218105
100000000,500000,wl_calls,runs,b_na_nowl_wide,816
100000000,500000,wl_calls,runs,b_na_wl_narrow,84791
100000000,500000,wl_calls,runs,b_na_wl_wide,802
100000000,500000,wl_calls,runs,c_na_nowl_narrow,219463
100000000,500000,wl_calls,runs,c_na_nowl_wide,834
100000000,500000,wl_calls,runs,c_na_wl_narrow,85611
100000000,500000,wl_calls,runs,c_na_wl_wide,794
100000000,500000,wl_calls,runs,d_na_nowl_narrow,218294
100000000,500000,wl_calls,runs,d_na_nowl_wide,919
100000000,500000,wl_calls,runs,d_na_wl_narrow,85364
100000000,500000,wl_calls,runs,d_na_wl_wide,777
100000000,500000,wl_calls,ms,?_maxrep_wl_wide,1
100000000,500000,wl_calls,ms,?_nomaxrep_nowl_narrow,1
100000000,500000,wl_calls,ms,a_maxrep_nowl_narrow,31452
100000000,500000,wl_calls,ms,a_maxrep_nowl_wide,280
100000000,500000,wl_calls,ms,a_maxrep_wl_narrow,58092
100000000,500000,wl_calls,ms,a_maxrep_wl_wide,766
100000000,500000,wl_calls,ms,a_na_nowl_narrow,105682
100000000,500000,wl_calls,ms,a_na_nowl_wide,603
100000000,500000,wl_calls,ms,a_nomaxrep_nowl_narrow,81515
100000000,500000,wl_calls,ms,a_nomaxrep_nowl_wide,38
100000000,500000,wl_calls,ms,a_nomaxrep_wl_narrow,27027
100000000,500000,wl_calls,ms,a_nomaxrep_wl_wide,7
100000000,500000,wl_calls,ms,b_maxrep_nowl_narrow,31378
100000000,500000,wl_calls,ms,b_maxrep_nowl_wide,241
100000000,500000,wl_calls,ms,b_maxrep_wl_narrow,57605
100000000,500000,wl_calls,ms,b_maxrep_wl_wide,726
100000000,500000,wl_calls,ms,b_na_nowl_narrow,105291
100000000,500000,wl_calls,ms,b_na_nowl_wide,555
100000000,500000,wl_calls,ms,b_nomaxrep_nowl_narrow,81227
100000000,500000,wl_calls,ms,b_nomaxrep_nowl_wide,40
100000000,500000,wl_calls,ms,b_nomaxrep_wl_narrow,27251
100000000,500000,wl_calls,ms,b_nomaxrep_wl_wide,9
100000000,500000,wl_calls,ms,c_maxrep_nowl_narrow,31628
100000000,500000,wl_calls,ms,c_maxrep_nowl_wide,262
100000000,500000,wl_calls,ms,c_maxrep_wl_narrow,58588
100000000,500000,wl_calls,ms,c_maxrep_wl_wide,724
100000000,500000,wl_calls,ms,c_na_nowl_narrow,106311
100000000,500000,wl_calls,ms,c_na_nowl_wide,600
100000000,500000,wl_calls,ms,c_nomaxrep_nowl_narrow,81733
100000000,500000,wl_calls,ms,c_nomaxrep_nowl_wide,48
100000000,500000,wl_calls,ms,c_nomaxrep_wl_narrow,27248
100000000,500000,wl_calls,ms,c_nomaxrep_wl_wide,16
100000000,500000,wl_calls,ms,d_maxrep_nowl_narrow,31327
100000000,500000,wl_calls,ms,d_maxrep_nowl_wide,255
100000000,500000,wl_calls,ms,d_maxrep_wl_narrow,58119
100000000,500000,wl_calls,ms,d_maxrep_wl_wide,767
100000000,500000,wl_calls,ms,d_na_nowl_narrow,105382
100000000,500000,wl_calls,ms,d_na_nowl_wide,551
100000000,500000,wl_calls,ms,d_nomaxrep_nowl_narrow,81204
100000000,500000,wl_calls,ms,d_nomaxrep_nowl_wide,35
100000000,500000,wl_calls,ms,d_nomaxrep_wl_narrow,27286
100000000,500000,wl_calls,ms,d_nomaxrep_wl_wide,14
100000000,500000,pseq,runs,1,187820
100000000,500000,pseq,runs,2,91016
100000000,500000,pseq,runs,3,17080
100000000,500000,pseq,runs,4,977
100000000,500000,pseq,runs,5,16
100000000,500000,pseq,ms,1,187875
100000000,500000,pseq,ms,2,91018
100000000,500000,pseq,ms,3,17018
100000000,500000,pseq,ms,4,980
100000000,500000,pseq,ms,5,18
100000000,500000,wlseq,ms,0,155808
100000000,500000,wlseq,ms,1,95495
100000000,500000,wlseq,ms,2,33305
100000000,500000,wlseq,ms,3,9216
100000000,500000,wlseq,ms,4,2344
100000000,500000,wlseq,ms,5,565
100000000,500000,wlseq,ms,6,131
100000000,500000,wlseq,ms,7,32
100000000,500000,wlseq,ms,8,11
100000000,500000,wlseq,ms,10,1
100000000,500000,wlseq,ms,14,2
