len_s,len_t,measuring,where,key,value
100000000,500000,wl_calls,runs,a_na_nowl_narrow,3434
100000000,500000,wl_calls,runs,a_na_nowl_wide,16
100000000,500000,wl_calls,runs,a_na_wl_narrow,124144
100000000,500000,wl_calls,runs,a_na_wl_wide,13
100000000,500000,wl_calls,runs,b_na_nowl_narrow,3185
100000000,500000,wl_calls,runs,b_na_nowl_wide,8
100000000,500000,wl_calls,runs,b_na_wl_narrow,124288
100000000,500000,wl_calls,runs,b_na_wl_wide,17
100000000,500000,wl_calls,runs,c_na_nowl_narrow,3216
100000000,500000,wl_calls,runs,c_na_nowl_wide,11
100000000,500000,wl_calls,runs,c_na_wl_narrow,124578
100000000,500000,wl_calls,runs,c_na_wl_wide,13
100000000,500000,wl_calls,runs,d_na_nowl_narrow,3325
100000000,500000,wl_calls,runs,d_na_nowl_wide,9
100000000,500000,wl_calls,runs,d_na_wl_narrow,124558
100000000,500000,wl_calls,runs,d_na_wl_wide,6
100000000,500000,wl_calls,ms,?_maxrep_wl_wide,1
100000000,500000,wl_calls,ms,?_nomaxrep_nowl_narrow,1
100000000,500000,wl_calls,ms,a_maxrep_nowl_narrow,408
100000000,500000,wl_calls,ms,a_maxrep_nowl_wide,2
100000000,500000,wl_calls,ms,a_maxrep_wl_narrow,849
100000000,500000,wl_calls,ms,a_maxrep_wl_wide,17
100000000,500000,wl_calls,ms,a_na_nowl_narrow,1563
100000000,500000,wl_calls,ms,a_na_nowl_wide,8
100000000,500000,wl_calls,ms,a_nomaxrep_nowl_narrow,1259
100000000,500000,wl_calls,ms,a_nomaxrep_nowl_wide,2
100000000,500000,wl_calls,ms,a_nomaxrep_wl_narrow,123324
100000000,500000,wl_calls,ms,a_nomaxrep_wl_wide,2
100000000,500000,wl_calls,ms,b_maxrep_nowl_narrow,433
100000000,500000,wl_calls,ms,b_maxrep_nowl_wide,3
100000000,500000,wl_calls,ms,b_maxrep_wl_narrow,863
100000000,500000,wl_calls,ms,b_maxrep_wl_wide,16
100000000,500000,wl_calls,ms,b_na_nowl_narrow,1673
100000000,500000,wl_calls,ms,b_na_nowl_wide,11
100000000,500000,wl_calls,ms,b_nomaxrep_nowl_narrow,1325
100000000,500000,wl_calls,ms,b_nomaxrep_nowl_wide,2
100000000,500000,wl_calls,ms,b_nomaxrep_wl_narrow,123387
100000000,500000,wl_calls,ms,c_maxrep_nowl_narrow,409
100000000,500000,wl_calls,ms,c_maxrep_nowl_wide,5
100000000,500000,wl_calls,ms,c_maxrep_wl_narrow,864
100000000,500000,wl_calls,ms,c_maxrep_wl_wide,8
100000000,500000,wl_calls,ms,c_na_nowl_narrow,1545
100000000,500000,wl_calls,ms,c_na_nowl_wide,6
100000000,500000,wl_calls,ms,c_nomaxrep_nowl_narrow,1217
100000000,500000,wl_calls,ms,c_nomaxrep_nowl_wide,2
100000000,500000,wl_calls,ms,c_nomaxrep_wl_narrow,123744
100000000,500000,wl_calls,ms,d_maxrep_nowl_narrow,417
100000000,500000,wl_calls,ms,d_maxrep_nowl_wide,4
100000000,500000,wl_calls,ms,d_maxrep_wl_narrow,876
