flag,value
F_DR_M,1.03726529
F_DR_M,1.01880167
F_DR_M,1.00682759
F_DR_M,1.00021081
F_DR_M,1.00435409
F_DR_M,1.012065
F_DR_M,0.966750966
F_DR_M,1.06336207
F_DR_M,1.00747881
F_DR_M,0.959693288
F_DR_M,1.00191922
F_DR_M,1.02464533
F_DR_M,1.01000457
F_DR_M,1.01383458
F_DR_M,1.02993291
F_DR_M,1.03846939
F_DR_M,0.963454915
F_DR_M,1.12999689
F_DR_M,1.01337199
F_DR_M,1.0297822
F_DR_M,1.01463174
F_DR_M,1.00438461
F_DR_M,1.00952245
F_DR_MC,1.05831432
F_DR_MC,1.04590423
F_DR_MC,1.04148871
F_DR_MC,1.02551252
F_DR_MC,1.03204843
F_DR_MC,1.0141643
F_DR_MC,0.955538887
F_DR_MC,1.00170416
F_DR_MC,1.03153119
F_DR_MC,1.0338351
F_DR_MC,1.04852493
F_DR_MC,1.0542981
F_DR_MC,1.03882347
F_DR_MC,1.05834289
F_DR_MC,1.07075478
F_DR_MC,1.06744331
F_DR_MC,0.987331846
F_DR_MC,1.06210118
F_DR_MC,1.04709832
F_DR_MC,1.06449236
F_DR_MC,1.05379104
F_DR_MC,1.05086284
F_DR_MC,1.04706015
F_DR_LZ,1.30857994
F_DR_LZ,1.32214731
F_DR_LZ,1.29403092
F_DR_LZ,1.33622283
F_DR_LZ,1.30901559
F_DR_LZ,1.30467515
F_DR_LZ,1.19471444
F_DR_LZ,1.26333363
F_DR_LZ,1.29404026
F_DR_LZ,1.2961484
F_DR_LZ,1.2844156
F_DR_LZ,1.28681246
F_DR_LZ,1.26339816
F_DR_LZ,1.28058726
F_DR_LZ,1.2901832
F_DR_LZ,1.34564148
F_DR_LZ,1.29952325
F_DR_LZ,1.30658424
F_DR_LZ,1.28339617
F_DR_LZ,1.29741683
F_DR_LZ,1.27742276
F_DR_LZ,1.28189852
F_DR_LZ,1.31122441
DR_LZ,1.30157251
DR_LZ,1.3157625
DR_LZ,1.27563368
DR_LZ,1.33023016
DR_LZ,1.29789353
DR_LZ,1.29948632
DR_LZ,1.28258681
DR_LZ,1.36353437
DR_LZ,1.32313171
DR_LZ,1.28584416
DR_LZ,1.27604983
DR_LZ,1.28081372
DR_LZ,1.26647898
DR_LZ,1.28833613
DR_LZ,1.28362887
DR_LZ,1.30532485
DR_LZ,1.21527659
DR_LZ,1.33743562
DR_LZ,1.28579592
DR_LZ,1.29075502
DR_LZ,1.27474716
DR_LZ,1.27528896
DR_LZ,1.30345533
LZ,1.28622752
LZ,1.28684633
LZ,1.27404436
LZ,1.284619
LZ,1.28335858
LZ,1.28478716
LZ,1.21301533
LZ,1.24426388
LZ,1.19910707
LZ,1.2700245
LZ,1.26524418
LZ,1.2623582
LZ,1.26316651
LZ,1.26847268
LZ,1.26957837
LZ,1.26910554
LZ,1.27503425
LZ,1.28178255
LZ,1.26445926
LZ,1.27403071
LZ,1.26082258
LZ,1.2705545
LZ,1.2883981
F_DR,1.03386296
F_DR,1.02309508
F_DR,1.01346796
F_DR,1.00065205
F_DR,1.00916776
F_DR,1.01400541
F_DR,1.00459844
F_DR,0.980057668
F_DR,1.00921549
F_DR,1.01087584
F_DR,1.00755888
F_DR,1.02117709
F_DR,1.00327855
F_DR,1.01181518
F_DR,1.01822256
F_DR,1.01879959
F_DR,0.943554862
F_DR,1.01696674
F_DR,1.01590237
F_DR,1.011156
F_DR,1.00829728
F_DR,1.0063433
F_DR,1.0162148
DR,1.01971603
DR,1.01161496
DR,1.00106348
DR,1.00863199
DR,1.01700259
DR,1.01651687
DR,0.926221929
DR,1.06068018
DR,0.998219007
DR,1.00645013
DR,1.01255335
DR,1.0225318
DR,1.01024326
DR,1.00866193
DR,1.01798288
DR,1.04751586
DR,0.935211679
DR,1.01613581
DR,1.01631587
DR,1.01946796
DR,1.00340587
DR,1.01054057
DR,1.01995029
F_DR_LZ_P,0.652244675
F_DR_LZ_P,0.653512588
F_DR_LZ_P,0.642658545
F_DR_LZ_P,0.783199405
F_DR_LZ_P,0.890886498
F_DR_LZ_P,0.771879286
F_DR_LZ_P,0.641834329
F_DR_LZ_P,0.803470272
F_DR_LZ_P,0.776091878
F_DR_LZ_P,0.641921069
F_DR_LZ_P,0.624150621
F_DR_LZ_P,0.595303789
F_DR_LZ_P,0.605492272
F_DR_LZ_P,0.597832396
F_DR_LZ_P,0.600856836
F_DR_LZ_P,0.613181304
F_DR_LZ_P,0.561303493
F_DR_LZ_P,0.609308411
F_DR_LZ_P,0.606662563
F_DR_LZ_P,0.602411406
F_DR_LZ_P,0.618592675
F_DR_LZ_P,0.625106301
F_DR_LZ_P,0.627488247
DR_LZ_P,0.650885641
DR_LZ_P,0.647029599
DR_LZ_P,0.628003643
DR_LZ_P,0.772604772
DR_LZ_P,0.885532806
DR_LZ_P,0.771025746
DR_LZ_P,0.636554751
DR_LZ_P,0.864331776
DR_LZ_P,0.827692372
DR_LZ_P,0.639806773
DR_LZ_P,0.617811298
DR_LZ_P,0.588569432
DR_LZ_P,0.597205476
DR_LZ_P,0.597921011
DR_LZ_P,0.594766313
DR_LZ_P,0.601405321
DR_LZ_P,0.583106067
DR_LZ_P,0.600911717
DR_LZ_P,0.600857352
DR_LZ_P,0.594396073
DR_LZ_P,0.612780121
DR_LZ_P,0.618912504
DR_LZ_P,0.624235228
LZ_P,0.648974949
LZ_P,0.641272662
LZ_P,0.627969081
LZ_P,0.770268086
LZ_P,0.876950994
LZ_P,0.763340264
LZ_P,0.621676955
LZ_P,0.855381389
LZ_P,0.763106957
LZ_P,0.63333842
LZ_P,0.614473764
LZ_P,0.589084913
LZ_P,0.598303236
LZ_P,0.593080271
LZ_P,0.597058266
LZ_P,0.597672103
LZ_P,0.579981398
LZ_P,0.593299581
LZ_P,0.599218883
LZ_P,0.594252101
LZ_P,0.609801942
LZ_P,0.618104137
LZ_P,0.623987541
F_DR_P,0.567954181
F_DR_P,0.57198767
F_DR_P,0.558726932
F_DR_P,0.554078739
F_DR_P,0.635939506
F_DR_P,0.594802127
F_DR_P,0.555354516
F_DR_P,0.608225076
F_DR_P,0.533415986
F_DR_P,0.561862805
F_DR_P,0.54854607
F_DR_P,0.527402209
F_DR_P,0.536156714
F_DR_P,0.530131714
F_DR_P,0.527530182
F_DR_P,0.584576745
F_DR_P,0.487218676
F_DR_P,0.532288278
F_DR_P,0.53552634
F_DR_P,0.532489222
F_DR_P,0.547079115
F_DR_P,0.550542028
F_DR_P,0.555992407
DR_P,0.573307467
DR_P,0.563074981
DR_P,0.558816696
DR_P,0.549589431
DR_P,0.625731839
DR_P,0.58913198
DR_P,0.542953696
DR_P,0.577102732
DR_P,0.536966801
DR_P,0.558577098
DR_P,0.547436702
DR_P,0.522922977
DR_P,0.532456956
DR_P,0.532131554
DR_P,0.5294122
DR_P,0.579321668
DR_P,0.476105829
DR_P,0.529353512
DR_P,0.532340268
DR_P,0.527456205
DR_P,0.542244279
DR_P,0.546154932
DR_P,0.551309302
P,0.56062197
P,0.560616156
P,0.551965761
P,0.54774281
P,0.624667071
P,0.588393125
P,0.557040626
P,0.624390149
P,0.56164664
P,0.557585658
P,0.541447817
P,0.518321385
P,0.532554926
P,0.529048022
P,0.529077681
P,0.577646299
P,0.515698536
P,0.568690201
P,0.532393907
P,0.527642198
P,0.538903036
P,0.542849964
P,0.54468501
