flag,value
F_DR_M,1.11600725
F_DR_M,1.10724078
F_DR_M,1.10501806
F_DR_M,1.01527781
F_DR_M,1.08244193
F_DR_M,1.13624528
F_DR_M,1.13548032
F_DR_M,0.995146706
F_DR_M,1.0898829
F_DR_M,1.03843909
F_DR_M,1.1380818
F_DR_M,1.15984686
F_DR_M,1.1454908
F_DR_M,1.15357135
F_DR_M,1.13378545
F_DR_M,1.05113951
F_DR_M,1.13518227
F_DR_M,1.16014587
F_DR_M,1.14443808
F_DR_M,1.15260035
F_DR_M,1.14021089
F_DR_M,1.13955841
F_DR_M,1.13119527
F_DR_MC,1.14217604
F_DR_MC,1.13588536
F_DR_MC,1.12465075
F_DR_MC,1.04649272
F_DR_MC,1.08825709
F_DR_MC,1.14234293
F_DR_MC,1.16603302
F_DR_MC,0.969648476
F_DR_MC,1.10257172
F_DR_MC,1.06590517
F_DR_MC,1.1643012
F_DR_MC,1.18714689
F_DR_MC,1.16827821
F_DR_MC,1.16143572
F_DR_MC,1.15686433
F_DR_MC,1.07713166
F_DR_MC,1.1439329
F_DR_MC,1.28018229
F_DR_MC,1.15758471
F_DR_MC,1.16254163
F_DR_MC,1.16065576
F_DR_MC,1.16543932
F_DR_MC,1.15443608
F_DR_LZ,1.28730935
F_DR_LZ,1.24744885
F_DR_LZ,1.28007726
F_DR_LZ,1.19299221
F_DR_LZ,1.35077634
F_DR_LZ,1.29130499
F_DR_LZ,1.26125297
F_DR_LZ,1.87624382
F_DR_LZ,1.34061071
F_DR_LZ,1.1929388
F_DR_LZ,1.2804817
F_DR_LZ,1.25864714
F_DR_LZ,1.23392207
F_DR_LZ,1.24101694
F_DR_LZ,1.23859056
F_DR_LZ,1.15912539
F_DR_LZ,1.29490284
F_DR_LZ,1.25222274
F_DR_LZ,1.23779934
F_DR_LZ,1.23552481
F_DR_LZ,1.23116907
F_DR_LZ,1.22785321
F_DR_LZ,1.23068502
DR_LZ,1.2716918
DR_LZ,1.24132882
DR_LZ,1.26662162
DR_LZ,1.30546508
DR_LZ,1.32762394
DR_LZ,1.2728024
DR_LZ,1.24761078
DR_LZ,1.90091297
DR_LZ,1.33296668
DR_LZ,1.17722058
DR_LZ,1.27636414
DR_LZ,1.23309925
DR_LZ,1.21999768
DR_LZ,1.22696885
DR_LZ,1.22817924
DR_LZ,1.15278152
DR_LZ,1.21059252
DR_LZ,1.22097911
DR_LZ,1.22264613
DR_LZ,1.22377054
DR_LZ,1.21077814
DR_LZ,1.21464533
DR_LZ,1.21779782
LZ,1.22611787
LZ,1.21521311
LZ,1.22207942
LZ,1.25991189
LZ,1.27601975
LZ,1.21986163
LZ,1.21609762
LZ,1.78975142
LZ,1.28115561
LZ,1.12737328
LZ,1.2234954
LZ,1.20651565
LZ,1.16618684
LZ,1.18690741
LZ,1.1810173
LZ,1.08097242
LZ,1.1562323
LZ,1.19626467
LZ,1.17487713
LZ,1.18324567
LZ,1.17531658
LZ,1.17752556
LZ,1.17670072
F_DR,1.04371532
F_DR,1.04234638
F_DR,1.04033805
F_DR,1.05419795
F_DR,1.0325923
F_DR,1.04806509
F_DR,1.06858951
F_DR,1.04039897
F_DR,1.06748764
F_DR,0.962051649
F_DR,1.06385989
F_DR,1.04906579
F_DR,1.04527409
F_DR,1.04850247
F_DR,1.03461084
F_DR,0.964184082
F_DR,1.03774529
F_DR,1.03592665
F_DR,1.04184857
F_DR,1.05170168
F_DR,1.03785834
F_DR,1.0398369
F_DR,1.03790548
DR,1.03442302
DR,1.04127584
DR,1.04011541
DR,1.02909689
DR,1.02391546
DR,1.02768156
DR,1.12096373
DR,1.04190657
DR,1.03690704
DR,1.03195714
DR,1.05392925
DR,1.04762267
DR,1.03636826
DR,1.03780778
DR,1.02820732
DR,0.946559723
DR,1.11773343
DR,1.02932724
DR,1.03292578
DR,1.03324979
DR,1.02875628
DR,1.03406479
DR,1.03142203
F_DR_LZ_P,0.511589743
F_DR_LZ_P,0.510913845
F_DR_LZ_P,0.516880487
F_DR_LZ_P,0.537262342
F_DR_LZ_P,0.569992851
F_DR_LZ_P,0.513216312
F_DR_LZ_P,0.495935509
F_DR_LZ_P,1.14545764
F_DR_LZ_P,0.574592853
F_DR_LZ_P,0.505793589
F_DR_LZ_P,0.501701648
F_DR_LZ_P,0.482535304
F_DR_LZ_P,0.466788305
F_DR_LZ_P,0.482652841
F_DR_LZ_P,0.480580645
F_DR_LZ_P,0.442643108
F_DR_LZ_P,0.465684919
F_DR_LZ_P,0.516091437
F_DR_LZ_P,0.475490772
F_DR_LZ_P,0.480544645
F_DR_LZ_P,0.471381854
F_DR_LZ_P,0.474772515
F_DR_LZ_P,0.474382149
DR_LZ_P,0.509424833
DR_LZ_P,0.50746953
DR_LZ_P,0.516248072
DR_LZ_P,0.531849927
DR_LZ_P,0.562328391
DR_LZ_P,0.505817407
DR_LZ_P,0.488994513
DR_LZ_P,1.13806057
DR_LZ_P,0.603604611
DR_LZ_P,0.502438464
DR_LZ_P,0.493261601
DR_LZ_P,0.48002981
DR_LZ_P,0.463180347
DR_LZ_P,0.482268285
DR_LZ_P,0.482073675
DR_LZ_P,0.444787317
DR_LZ_P,0.486293064
DR_LZ_P,0.477574134
DR_LZ_P,0.474327612
DR_LZ_P,0.477891167
DR_LZ_P,0.468827591
DR_LZ_P,0.472063933
DR_LZ_P,0.472557776
LZ_P,0.504612189
LZ_P,0.500536853
LZ_P,0.511908059
LZ_P,0.527449409
LZ_P,0.557845705
LZ_P,0.507548038
LZ_P,0.489962
LZ_P,1.09714762
LZ_P,0.573449738
LZ_P,0.497556791
LZ_P,0.491671475
LZ_P,0.474629846
LZ_P,0.460414724
LZ_P,0.478634201
LZ_P,0.478279995
LZ_P,0.450424682
LZ_P,0.455508904
LZ_P,0.474065961
LZ_P,0.470264587
LZ_P,0.478284884
LZ_P,0.464702429
LZ_P,0.467213998
LZ_P,0.469290961
F_DR_P,0.473298789
F_DR_P,0.473390344
F_DR_P,0.47490518
F_DR_P,0.485654268
F_DR_P,0.510632068
F_DR_P,0.473332399
F_DR_P,0.460626074
F_DR_P,0.763341166
F_DR_P,0.518584828
F_DR_P,0.463265243
F_DR_P,0.466694905
F_DR_P,0.452940423
F_DR_P,0.441321079
F_DR_P,0.457032453
F_DR_P,0.451519777
F_DR_P,0.421202584
F_DR_P,0.440426617
F_DR_P,0.44751703
F_DR_P,0.447999558
F_DR_P,0.451038817
F_DR_P,0.441784123
F_DR_P,0.446678177
F_DR_P,0.447143417
DR_P,0.46901524
DR_P,0.471515128
DR_P,0.474090185
DR_P,0.484950743
DR_P,0.504910409
DR_P,0.466846457
DR_P,0.458069959
DR_P,0.738877852
DR_P,0.516514296
DR_P,0.460370292
DR_P,0.462484847
DR_P,0.449751211
DR_P,0.436505935
DR_P,0.447925917
DR_P,0.445872987
DR_P,0.43669919
DR_P,0.467528547
DR_P,0.449920211
DR_P,0.444048554
DR_P,0.449704073
DR_P,0.440004875
DR_P,0.44313219
DR_P,0.445288139
P,0.464713148
P,0.463824914
P,0.469293603
P,0.481027588
P,0.498597338
P,0.462882752
P,0.457981238
P,0.723250449
P,0.515534448
P,0.457640935
P,0.459381357
P,0.447129576
P,0.432106237
P,0.447623246
P,0.441269166
P,0.412481959
P,0.458123105
P,0.440503288
P,0.442070925
P,0.445930201
P,0.436451709
P,0.440931996
P,0.440203174
