sequence,setup,value
non-bacteria,genome,4.70899608
non-bacteria,genome,5.12127065
non-bacteria,genome,4.71932451
non-bacteria,genome,4.66383293
non-bacteria,genome,4.68715711
non-bacteria,genome,4.76178216
non-bacteria,genome,4.66741195
non-bacteria,genome,4.67375919
non-bacteria,genome,4.65672565
non-bacteria,genome,4.66227068
non-bacteria,genome,4.22847182
non-bacteria,genome,2.59100131
non-bacteria,genome,4.04442966
non-bacteria,genome,3.91328581
non-bacteria,genome,3.01654216
non-bacteria,genome,3.05382421
non-bacteria,genome,2.3652568
non-bacteria,genome,2.46495285
non-bacteria,genome,3.44749341
non-bacteria,genome,2.6838333
non-bacteria,genome,4.32120226
non-bacteria,genome,4.33300547
non-bacteria,genome,2.37990994
