sequence,setup,value
non-bacteria,proteome,3.99285488
non-bacteria,proteome,4.53150635
non-bacteria,proteome,4.53779919
non-bacteria,proteome,4.40949709
non-bacteria,proteome,5.09299221
non-bacteria,proteome,2.77212658
non-bacteria,proteome,4.07793551
non-bacteria,proteome,5.15733475
non-bacteria,proteome,4.8961028
non-bacteria,proteome,2.60040003
non-bacteria,proteome,3.67914068
non-bacteria,proteome,2.7138367
non-bacteria,proteome,2.15172512
non-bacteria,proteome,3.5742553
non-bacteria,proteome,4.0079914
non-bacteria,proteome,3.47024787
non-bacteria,proteome,1.78104015
non-bacteria,proteome,2.9974282
non-bacteria,proteome,3.37948278
non-bacteria,proteome,3.68353679
non-bacteria,proteome,3.63943392
non-bacteria,proteome,3.26087578
non-bacteria,proteome,3.84174682
