sequence,setup,value
non-bacteria,genome,1.33449604
non-bacteria,genome,0.911252018
non-bacteria,genome,0.95292771
non-bacteria,genome,0.981420937
non-bacteria,genome,0.949349894
non-bacteria,genome,1.34887867
non-bacteria,genome,1.36125385
non-bacteria,genome,1.34202729
non-bacteria,genome,1.21144139
non-bacteria,genome,1.40351248
non-bacteria,genome,0.471932396
non-bacteria,genome,0.465496817
non-bacteria,genome,1.15168498
non-bacteria,genome,0.45433196
non-bacteria,genome,0.945587626
non-bacteria,genome,0.444581132
non-bacteria,genome,1.40319705
non-bacteria,genome,0.917456928
non-bacteria,genome,1.17753716
non-bacteria,genome,1.14619085
non-bacteria,genome,1.10939387
non-bacteria,genome,1.19792467
non-bacteria,genome,0.40350621
