sequence,setup,value
non-bacteria,proteome,0.564304917
non-bacteria,proteome,0.574209943
non-bacteria,proteome,0.603339891
non-bacteria,proteome,0.622839634
non-bacteria,proteome,0.617507049
non-bacteria,proteome,0.602457404
non-bacteria,proteome,0.542702195
non-bacteria,proteome,1.55577472
non-bacteria,proteome,0.658675024
non-bacteria,proteome,0.569036046
non-bacteria,proteome,0.491031379
non-bacteria,proteome,0.472584246
non-bacteria,proteome,0.516028945
non-bacteria,proteome,0.512794534
non-bacteria,proteome,0.516821221
non-bacteria,proteome,0.510977108
non-bacteria,proteome,0.419626392
non-bacteria,proteome,0.425342228
non-bacteria,proteome,0.556011087
non-bacteria,proteome,0.51767125
non-bacteria,proteome,0.520354821
non-bacteria,proteome,0.545284946
non-bacteria,proteome,0.527516957
